NAME,REAL NAME,REGION,NATIONALITY,TEAM,AGE,WEAPON,MAJOR APPEARANCES,EARNINGS,LAST UPDATED,RAGE
TahsiN,Tahsin Sarikaya,Europe,Germany Turkey,Entropy Gaming,24/09/1990,AK47,0,"$26,754",10/08/2022,31
TiziaN,Tizian Feldbusch,Europe,Germany,BIG,15/06/1996,AK47,5,"$330,214",10/08/2022,26
TuGuX,Tugay Keskin,Europe,Germany,Sangal Esports,02/08/1991,AK47,0,"$15,291",10/08/2022,31
Xenn,Sebastian Hoch,Europe,Germany,ALTERNATE aTTaX,06/11/1995,AK47,0,"$16,347",10/08/2022,26
Awzek,Michalis Napoloni,Europe,Greece Albania,ALTERNATE aTTaX,10/11/1998,AK47,0,"$6,484",10/08/2022,23
Aaron,Áron Homoki,Europe,Hungary,Budapest Five,24/02/1999,AK47,0,"$6,670",10/08/2022,23
Bodito,Patrik Boda,Europe,Hungary,ONYX,01/12/1997,AK47,0,"$9,540",11/08/2022,24
Coolio,András Fercsák,Europe,Hungary,ONYX,12/07/2000,AK47,0,"$13,636",11/08/2022,22
Flashie,Viktor Tamás Bea,Europe,Hungary,Counter Logic Gaming Red,21/08/1995,AK47,0,"$15,922",11/08/2022,26
Fleav,Levente Fodor,Europe,Hungary,Budapest Five,25/10/2000,AWP,0,"$24,433",11/08/2022,21
Gabesson,Gábor Málovics,Europe,Hungary,Hungarian Esport TV,07/05/1990,AK47,0,"$9,980",11/08/2022,32
Kolor,Ádám Domoszlay,Europe,Hungary,cowana Gaming,26/10/1999,AWP,0,"$20,130",11/08/2022,22
Kory,Kornél Szedlár,Europe,Hungary Serbia,Sangal Esports,12/07/1998,AWP,0,"$15,741",11/08/2022,24
Torzsi,Ádám Torzsás,Europe,Hungary,MOUZ,17/05/2002,AWP,0,"$54,351",11/08/2022,20
Deb0,Arlind Sadiku,Europe,Kosovo,X,03/09/1998,AK47,0,"$7,549",11/08/2022,23
Dementor,Arbnor Pacolli,Europe,Kosovo,OG Academy,07/06/1999,AK47,0,"$5,849",11/08/2022,23
Gejmzilla,Atif Mustafa,Europe,Kosovo Hungary,X,29/11/1996,AK47,0,"$10,746",11/08/2022,25
Gulito,Kujtim Durmishi,Europe,Kosovo Albania,Team BLINK,26/02/1999,AK47,0,"$7,946",11/08/2022,23
Gxx-,Genc Kolgeci,Europe,Kosovo Albania,Bad News Eagles,03/05/1999,AWP,0,"$23,912",11/08/2022,23
Juanflatroo,Flatron Halimi,Europe,Kosovo Albania,Bad News Eagles,18/03/1997,AK47,1,"$25,555",11/08/2022,25
SENER1,Sener Mahmuti,Europe,Kosovo Albania,Bad News Eagles,19/01/1997,AK47,1,"$29,278",11/08/2022,25
Sinnopsyy,Dionis Budeci,Europe,Kosovo Albania,Bad News Eagles,24/07/1995,AK47,1,"$25,548",11/08/2022,27
Broky,Helvijs Saukants,Europe,Latvia,FaZe Clan,14/02/2001,AWP,2,"$470,413",11/08/2022,21
Flarich,Vadim Karetin,Europe,Latvia,Esports Club Kyiv,08/09/1996,AK47,0,"$24,573",11/08/2022,25
Hyskeee,Reinis Grīnbergs,Europe,Latvia,Wolsung,02/05/1997,AK47,0,"$10,030",11/08/2022,25
Independent,Miks Siliņš,Europe,Latvia,Wolsung,03/07/1998,AK47,0,"$1,313",11/08/2022,24
Krii,Kristaps Bricis,Europe,Latvia,Wolsung,29/07/1998,AK47,0,"$10,853",11/08/2022,24
Shield,Roberts Tipsis,Europe,Latvia,Wolsung,19/01/2003,AWP,0,"$7,615",11/08/2022,19
YEKINDAR,Mareks Gaļinskis,Europe,Latvia,Virtus.pro,04/10/1999,AK47,2,"$301,428",11/08/2022,22
Bymas,Aurimas Pipiras,Europe,Lithuania,MOUZ,12/08/2003,AK47,1,"$105,691",11/08/2022,19
JL,Justinas Lekavicius,Europe,Lithuania,Apeks,29/09/1999,AWP,0,"$30,213",11/08/2022,22
Marix,Max Kugener,Europe,Luxembourg Ukraine,OG Academy,30/07/2003,AK47,0,"$11,453",11/08/2022,19
AidKiT,Jane Apostoloski,Europe,North Macedonia,BLUEJAYS,13/06/2001,AWP,0,"$16,229",11/08/2022,21
CacaNito,Aleksandar Kjulukoski,Europe,North Macedonia,BLUEJAYS,09/11/2000,AK47,0,"$26,385",11/08/2022,21
Dan1,Daniel Gligorov,Europe,North Macedonia,BLUEJAYS,18/10/1999,AK47,0,"$13,995",11/08/2022,22
Kyxsan,Damjan Stoilkovski,Europe,North Macedonia,BLUEJAYS,26/05/2000,AK47,0,"$16,633",11/08/2022,22
StYleEeZ,Pavle Stojanovski,Europe,North Macedonia,BLUEJAYS,09/04/2000,AK47,0,"$15,521",11/08/2022,22
Maden,Pavle Bošković,Europe,Montenegro,ENCE,12/11/1998,AK47,1,"$124,316",11/08/2022,23
CRUC1AL,Joey Steusel,Europe,Netherlands,Endpoint,04/02/1997,AWP,0,"$81,116",11/08/2022,25
FASHR,Dion Derksen,Europe,Netherlands,Fnatic,10/01/1996,AK47,0,"$53,375",11/08/2022,26
Rezst,Jacob Hemming,Europe,Netherlands Germany,KRC Genk Esports,10/07/2000,AK47,0,"$3,176",11/08/2022,22
AkEz,Kristian Kornbakk,Europe,Norway,777 Esports,04/06/1992,AK47,0,"$16,216",11/08/2022,30
ANdz,Anders Kjær,Europe,Norway,Apeks,31/05/1992,AK47,0,"$11,703",11/08/2022,30
Aurora,Aurora Lyngdal,Europe,Norway,GODSENT Female,26/04/1996,AK47,0,"$2,542",11/08/2022,26
Fletch,Snorre Granerud,Europe,Norway,777 Esports,10/01/1996,AK47,0,"$4,336",11/08/2022,26
Grus,Sander Nordeide Iversen,Europe,Norway,SKADE X,10/10/1997,AK47,0,"$18,075",11/08/2022,24
H4RR3,Haris Hadžić,Europe,Norway,777 Esports,22/03/1997,AK47,0,"$25,465",11/08/2022,25
Hallzerk,Håkon Fjærli,Europe,Norway,Complexity Gaming,14/07/2000,AWP,0,"$37,272",11/08/2022,22
HEllberg,Christoffer Andersen,Europe,Norway,Wizard esport,11/11/1998,AK47,0,"$4,483",11/08/2022,23
Jimbo,Jesper Kamsrud,Europe,Norway,SKADE X,06/01/1998,AK47,0,"$5,236",11/08/2022,24
Jkaem,Joakim Myrbostad,Europe,Norway,Apeks,27/02/1994,AK47,7,"$174,705",11/08/2022,28
KORN,Kristian Hokland,Europe,Norway,SKADE X,15/07/1992,AK47,0,"$10,786",11/08/2022,30
LaX,Eskil Bjørnsen,Europe,Norway,SKADE X,26/07/2000,AK47,0,"$5,536",11/08/2022,22
Mikki,Mikael Gaup,Europe,Norway,777 Esports,19/12/1998,AWP,0,"$9,734",11/08/2022,23
Philip,Philip Løseth,Europe,Norway,Bitfix Gaming,15/07/1996,AK47,0,"$1,344",11/08/2022,26
Polly,Pål Kammen,Europe,Norway,Apeks,07/03/1991,AK47,2,"$12,286",11/08/2022,31
Rain,Håvard Liset Nygaard,Europe,Norway,FaZe Clan,27/08/1994,AK47,14,"$1,033,686",11/08/2022,27
Shyyne,Tobias Sæther,Europe,Norway,1PIN,04/08/1999,AWP,0,"$5,859",11/08/2022,23
SLY,Steffen Amundsen,Europe,Norway,777 Esports,18/02/2002,AK47,0,"$5,537",11/08/2022,20
Truth,Erik Hansen Dyrnes,Europe,Norway,SKADE X,25/11/1996,AK47,0,"$14,614",11/08/2022,25
VENdetta,Halvor Gulestøl,Europe,Norway,SKADE X,01/05/1989,AK47,0,$188,11/08/2022,33
VHw,Viktor Wadman,Europe,Norway Sweden,Apeks Rebels,09/10/1998,AK47,0,"$5,041",11/08/2022,23
ZEVES,Morten Vollan Christensen,Europe,Norway,Metizport,17/04/1991,AK47,1,"$7,294",11/08/2022,31
Baljs,Bartosz Mikołajewicz,Europe,Poland,Turów Zgorzelec Esport,14/09/1993,AWP,0,"$2,770",11/08/2022,28
Bnox,Bartosz Niebisz,Europe,Poland,PACT,17/04/2000,AK47,0,"$7,354",11/08/2022,22
Bogdan,Jędrzej Rokita,Europe,Poland,Team Finest,04/11/1997,AK47,0,0$,11/08/2022,24
Byali,Paweł Mateusz Bieliński,Europe,Poland,Ungentium,30/04/1994,AK47,13,"$578,445",11/08/2022,28
Casey,Mariusz Jarząb,Europe,Poland,PALOMA,04/11/1999,AK47,0,"$5,523",11/08/2022,22
Darko,Kacper Ściera,Europe,Poland,Turów Zgorzelec Esport,12/12/1997,AK47,0,"$32,256",11/08/2022,24
Demho,Patryk Tomaszewski,Europe,Poland,Anonymo Esports,07/02/2001,AK47,0,"$6,888",11/08/2022,21
Dycha,Paweł Dycha,Europe,Poland,ENCE,11/08/1997,AK47,2,"$143,060",11/08/2022,25
Enzo,Karol Lasota,Europe,Poland,los kogutos,14/01/1998,AK47,0,"$18,301",11/08/2022,24
F1KU,Maciej Miklas,Europe,Poland,OG,29/05/2003,AK47,0,"$54,001",11/08/2022,19
Fr3nd,Sebastian Kuśmierz,Europe,Poland,HONORIS,27/04/2002,AWP,0,"$7,003",11/08/2022,20
Furlan,Damian Kisłowski,Europe,Poland,AGO Esports,29/12/1994,AK47,2,"$273,995",11/08/2022,27
Goofy,Krzysztof Górski,Europe,Poland,9INE,29/08/2000,AK47,0,"$44,655",11/08/2022,21
GruBy,Dominik Świderski,Europe,Poland,Ungentium,28/02/1995,AK47,2,"$160,333",11/08/2022,27
GRuChA,Kacper Gruszeczka,Europe,Poland,Turów Zgorzelec Esport,17/05/2001,AK47,0,"$4,877",11/08/2022,21
Hades (Polish player),Aleksander Miskiewicz,Europe,Poland,ENCE,01/01/2000,AWP,2,"$101,656",11/08/2022,22
Hyper (Polish player),Bartosz Wolny,Europe,Poland,Izako Boars,01/01/1990,AK47,2,"$25,483",11/08/2022,32
IMD,Adrian Pieper,Europe,Poland,Anonymo Esports,05/09/1996,AK47,0,$164,11/08/2022,25
Innocent,Paweł Mocek,Europe,Poland,Anonymo Esports,20/12/1993,AK47,3,"$83,479",11/08/2022,28
Iso,Rafał Tync,Europe,Poland,PALOMA,27/07/1999,AK47,0,"$6,922",11/08/2022,23
KEi,Kamil Pietkun,Europe,Poland,9INE,06/04/2001,AK47,0,"$26,576",11/08/2022,21
KRaSnaL,Szymon Mrozek,Europe,Poland,los kogutos,02/04/2003,AK47,0,"$14,970",11/08/2022,19
Kuben,Jakub Gurczyński,Europe,Poland,Apeks,12/07/1988,AK47,0,"$127,837",11/08/2022,34
Kylar,Kacper Walukiewicz,Europe,Poland,9INE,22/09/1999,AK47,0,"$14,439",11/08/2022,22
Layner,Dawid Falczyński,Europe,Poland,PALOMA,21/05/1999,AWP,0,"$5,783",11/08/2022,23
Leman,Eryk Kocęba,Europe,Poland,AGO Esports,21/01/1997,AK47,0,"$33,327",11/08/2022,25
LunAtic,Dawid Cieślak,Europe,Poland,PACT,14/04/1993,AWP,0,"$32,860",11/08/2022,29
Luz,Maciej Bugaj,Europe,Poland,Ungentium,18/04/1994,AK47,0,"$36,984",11/08/2022,28
M4tthi,Mateusz Szambelan,Europe,Poland,Ungentium,11/06/2001,AWP,0,"$5,151",11/08/2022,21
Mantuu,Mateusz Wilczewski,Europe,Poland United Kingdom,OG,21/08/1997,AWP,0,"$181,720",11/08/2022,24
MASKED,Bartłomiej Trybuła,Europe,Poland,Illuminar Gaming,02/01/2001,AWP,0,"$5,561",11/08/2022,21
MhL,Miłosz Knasiak,Europe,Poland,MOUZ NXT,03/03/2002,AWP,0,"$48,283",11/08/2022,20
MiNIr0x,Mikołaj Michałków,Europe,Poland,AGO Esports,10/08/1997,AK47,0,0$,11/08/2022,25
Morelz,Piotr Taterka,Europe,Poland,Illuminar Gaming,28/07/1994,AK47,0,"$49,253",11/08/2022,28
Mouz (Polish player),Mikołaj Karolewski,Europe,Poland,HONORIS,24/10/1995,AK47,1,"$199,804",11/08/2022,26
MSr,Robert Pieńkowski,Europe,Poland,ThunderFlash,19/10/1991,AK47,0,$419,11/08/2022,30
Mynio,Wiktor Kruk,Europe,Poland,9INE,26/09/1995,AK47,0,"$34,066",11/08/2022,26
Nawrot,Piotr Nawrocki,Europe,Poland,9INE,15/08/1997,AK47,0,"$13,882",11/08/2022,24
NEO,Filip Borys Kubski,Europe,Poland,HONORIS,15/06/1987,AK47,14,"$757,243",11/08/2022,35
OLIMP,Patryk Woźniak,Europe,Poland,PALOMA,07/02/2000,AK47,0,"$6,479",11/08/2022,22
Oskarish,Oskar Stenborowski,Europe,Poland Germany,Anonymo Esports,16/05/1997,AK47,0,"$49,988",11/08/2022,25
PashaBiceps,Jarosław Jarząbkowski,Europe,Poland,Team Liquid,11/04/1988,AWP,13,"$620,567",11/08/2022,34
Phr,Tomasz Wójcik,Europe,Poland,Illuminar Gaming,26/09/1996,AK47,0,"$166,818",11/08/2022,25
Prism,Wojciech Zięba,Europe,Poland,Ungentium,28/04/1998,AK47,0,"$5,750",11/08/2022,24
Reiko,Kamil Cegiełko,Europe,Poland,HONORIS,04/09/1999,AK47,0,"$11,656",11/08/2022,22
SAYN,Adrian Łączyński,Europe,Poland,PACT,20/06/1999,AWP,0,"$15,091",11/08/2022,23
Sidney,Patryk Korab,Europe,Poland,Ungentium,09/06/1998,AK47,0,"$26,727",11/08/2022,24
Siuhy,Kamil Szkaradek,Europe,Poland,MOUZ NXT,26/08/2002,AK47,0,"$48,862",11/08/2022,19
SNx,Rafał Snopek,Europe,Poland,PALOMA,10/06/2002,AK47,0,"$6,166",11/08/2022,20
Sobol,Kamil Sobolewski,Europe,Poland,HONORIS,24/01/1998,AK47,0,"$33,314",11/08/2022,24
Splawik,Łukasz Jahns,Europe,Poland,Turów Zgorzelec Esport,19/04/2001,AK47,0,"$2,222",11/08/2022,21
Szejn,Hubert Światły,Europe,Poland,MOUZ NXT,04/01/2002,AK47,0,"$49,645",11/08/2022,20
SZPERO,Grzegorz Dziamałek,Europe,Poland,9INE,06/06/1991,AK47,1,"$231,103",11/08/2022,31
TaZ,Wiktor Wojtas,Europe,Poland,HONORIS,06/06/1986,AK47,12,"$742,228",11/08/2022,36
Tomiko,Tomasz Uroda,Europe,Poland,los kogutos,22/03/2004,AK47,0,"$8,818",11/08/2022,18
Vegi,Arkadiusz Nawojski,Europe,Poland,Anonymo Esports,19/05/2000,AK47,0,"$60,781",11/08/2022,22
VinS,Vincent Jozefiak,Europe,Poland,HONORIS,25/09/1998,AK47,0,0$,11/08/2022,23
ZaNNN,Błażej Bączkowski,Europe,Poland,Illuminar Gaming,17/11/2001,AK47,0,"$5,843",11/08/2022,20
Ag1l,André Gil,Europe,Portugal,For The Win Esports,02/03/2003,AK47,0,"$9,466",11/08/2022,19
Arrozdoce,Rafael Wing,Europe,Portugal,For The Win Esports,02/07/2002,AK47,0,"$9,985",11/08/2022,20
BLOODZ,Bruno Mourão de Sousa,Europe,Portugal,Fourteen Esports,30/04/1993,AK47,0,"$14,836",11/08/2022,29
Coachi,Hélder Sancho,Europe,Portugal Brazil,Sharks Esports,25/06/1987,AK47,0,"$2,743",11/08/2022,35
D10S,Cristiano Marques Sá Carvalho,Europe,Portugal,For The Win Esports,15/09/2001,AK47,0,$250,11/08/2022,20
DDias,Diogo Dias,Europe,Portugal,For The Win Esports,06/07/1998,AK47,0,"$11,689",11/08/2022,24
Ewjerkz,Michel Magalhães,Europe,Portugal,SAW,24/09/2000,AK47,0,"$12,427",11/08/2022,21
Fox (Portuguese player),Ricardo Pacheco Miguel,Europe,Portugal,Fourteen Esports,15/11/1986,AWP,5,"$93,601",11/08/2022,35
JTR,Ricardo Júnior,Europe,Portugal,Nigma Galaxy Female,28/12/2002,AK47,0,0$,11/08/2022,19
JUST,Tiago Moura,Europe,Portugal,SAW,29/04/1996,AK47,0,"$54,541",11/08/2022,26
Juve,Gustavo Alexandre,Europe,Portugal,Into The Breach,29/12/2002,AK47,0,0$,11/08/2022,19
Kst,Francisco Gonçalo Viana Fragoso,Europe,Portugal,For The Win Esports,12/11/2001,AK47,0,"$11,461",11/08/2022,20
MUTiRiS,Christopher Fernandes,Europe,Portugal,SAW,26/12/1992,AK47,0,"$54,802",11/08/2022,29
NABOWOW,Daniel Brito,Europe,Portugal,SAW,27/04/1995,AK47,0,"$6,526",11/08/2022,27
Pr,Paulo Ricardo Lopes da Silva,Europe,Portugal,Fourteen Esports,02/10/2000,AK47,0,"$20,126",11/08/2022,21
RIZZ,Rui Lima,Europe,Portugal,Fourteen Esports,28/11/1993,AK47,0,"$20,655",11/08/2022,28
Rmn,Ricardo Oliveira,Europe,Portugal,SAW,14/05/1992,AK47,0,"$54,319",11/08/2022,30
Shellzi,Bruno Teixeira,Europe,Portugal,Fourteen Esports,27/07/1998,AK47,0,"$14,572",11/08/2022,24
Stadodo,Renato Gonçalves,Europe,Portugal,For The Win Esports,17/11/1996,AWP,0,"$48,696",11/08/2022,25
Story,João Vieira,Europe,Portugal,SAW,23/04/2002,AWP,0,"$9,891",11/08/2022,20
Vts,Rui Soares,Europe,Portugal,For The Win Esports,04/02/1993,AK47,0,"$3,233",11/08/2022,29
ADRON,Roberto Paun,Europe,Romania,Infinite Gaming,01/01/2002,AK47,0,"$6,879",11/08/2022,20
Blytz,Raul Gligor,Europe,Romania,ENTERPRISE esports,23/06/2000,AK47,0,"$12,382",11/08/2022,22
BTN,Catalin-Ionut Stanescu,Europe,Romania,Nexus Gaming,24/05/1989,AK47,0,"$28,113",11/08/2022,33
FNk,Mihai Costache,Europe,Romania,The Prodigies,07/02/2002,AK47,0,"$3,013",11/08/2022,20
GEOHYPE,Gheorghiţă-Florin Solovăstru,Europe,Romania,OneTap Gaming,20/11/1995,AK47,0,"$7,701",11/08/2022,26
IM,Ivan Mihai,Europe,Romania,Team GamerLegion,29/07/1999,AK47,0,"$24,870",11/08/2022,23
LauNX,Laurențiu Țârlea,Europe,Romania,Sprout,10/05/2005,AK47,0,"$13,193",11/08/2022,17
MoDo,Mădălin-Andrei Mirea,Europe,Romania,OneTap Gaming,01/06/2003,AWP,0,"$6,470",11/08/2022,19
Ragga,Cosmin Teodorescu,Europe,Romania,Nexus Gaming,29/03/2000,AWP,0,"$10,558",11/08/2022,22
SEMINTE,Valentin Bodea,Europe,Romania,Nexus Gaming,14/06/1997,AK47,0,"$17,865",11/08/2022,25
Smekk,Cristi Flutur,Europe,Romania,OneTap Gaming,19/12/2002,AK47,0,"$7,183",11/08/2022,19
Swiiffter,Cătălin-George Florea,Europe,Romania,OneTap Gaming,30/03/2001,AK47,0,"$6,171",11/08/2022,21
SXe,Cristian Nita,Europe,Romania,KTRL,31/07/1997,AK47,0,"$17,104",11/08/2022,25
XELLOW,Adrian Guță,Europe,Romania,Nexus Gaming,06/10/2000,AWP,0,"$31,103",11/08/2022,21
Choiv7,Ivan Živković,Europe,Serbia,iNation,27/12/1999,AK47,0,"$7,662",11/08/2022,22
DEE,Miloš Marčeta,Europe,Serbia Bosnia and Herzegovina,KTRL,11/02/1996,AWP,0,"$11,850",11/08/2022,26
Djokabomba,Velizar Perić,Europe,Serbia,iNation,23/08/1989,AK47,0,0$,11/08/2022,32
LETN1,Nestor Tanić,Europe,Serbia,TYLOO,16/11/1992,AK47,1,"$66,097",11/08/2022,29
Nexa,Nemanja Isaković,Europe,Serbia,OG,25/04/1997,AK47,2,"$362,912",11/08/2022,25
PTKKK,Ivan Popov,Europe,Serbia Slovenia,MONAD eSport,16/07/1996,AK47,0,"$5,966",11/08/2022,26
SoLo,Darko Mitić,Europe,Serbia,KTRL,07/08/1989,AK47,0,"$2,190",11/08/2022,33
VLDN,Vladan Radević,Europe,Serbia,iNation,09/11/2000,AK47,0,"$6,508",11/08/2022,21
Benq1,Tomáš Masaryk,Europe,Slovakia,eSuba,25/03/1990,AK47,0,"$3,989",11/08/2022,32
Frozen,David Čerňanský,Europe,Slovakia,MOUZ,18/07/2002,AK47,2,"$320,920",11/08/2022,20
GuardiaN,Ladislav Kovács,Europe,Slovakia,Team Sampi,09/07/1991,AWP,14,"$800,878",11/08/2022,31
HenkkyG,Ľuboš Ilko,Europe,Slovakia,Dark Tigers,12/10/1997,AK47,0,"$8,590",11/08/2022,24
Kat,Katarína Vašková,Europe,Slovakia,Nigma Galaxy Female,18/08/1997,AK47,0,"$21,542",11/08/2022,24
KETUBOR,Michal Csontoš,Europe,Slovakia,DGG Esports,12/08/1987,AK47,0,"$1,989",11/08/2022,35
MAXX,Martin Smolár,Europe,Slovakia,Cryptova,21/05/1999,AK47,0,"$3,678",11/08/2022,23
SAvana1,Lukáš Lintner,Europe,Slovakia,Team Sampi,27/08/2003,AK47,0,"$7,683",11/08/2022,18
STYKO,Martin Styk,Europe,Slovakia,Apeks,23/02/1996,AK47,3,"$332,006",11/08/2022,26
ZEDc,Adam Bartko,Europe,Slovakia,Team Moops,04/02/2001,AK47,0,"$6,294",11/08/2022,21
Zero,Patrik Žúdel,Europe,Slovakia,SINNERS Esports,16/09/1998,AK47,1,"$74,814",11/08/2022,23
ALEX (Spanish player),Alejandro Masanet Candela,Europe,Spain,Movistar Riders,15/12/1995,AK47,1,"$100,038",11/08/2022,26
Arki,Omar Chakkor Feltrer,Europe,Spain,SAW,07/12/1989,AK47,0,"$59,907",11/08/2022,32
BladE,Galder Barcena Gallo,Europe,Spain,Movistar Riders,24/08/1989,AK47,0,"$12,121",11/08/2022,32
Cr0n0s,Antonio Soriano,Europe,Spain,BLUEJAYS,25/12/1982,AK47,0,0$,11/08/2022,39
Dav1g,David Granado Bermudo,Europe,Spain,Movistar Riders,06/06/2001,AK47,1,"$53,544",11/08/2022,21
DeathZz,Raúl Jordán Nieto,Europe,Spain,Movistar Riders,31/01/1996,AK47,1,"$60,127",11/08/2022,26
Enanoks,Alfredo Álvarez,Europe,Spain,Gravity 0,11/04/1994,AK47,0,"$11,684",11/08/2022,28
Hepa,Juan Borges,Europe,Spain,Evil Geniuses,27/12/1992,AK47,0,0$,11/08/2022,29
Mopoz,Alejandro Fernández-Quejo Cano,Europe,Spain,Movistar Riders,07/08/1996,AK47,1,"$93,405",11/08/2022,26
MusambaN1,Jonathan Torrent,Europe,Spain,BIG EQUIPA,06/12/1986,AK47,0,"$30,631",11/08/2022,35
NaOw,Iván González,Europe,Spain,VELOX,02/08/1996,AK47,0,"$7,899",11/08/2022,26
SOKER,Aitor Fernández,Europe,Spain,Gravity 0,11/05/1993,AK47,0,"$29,084",11/08/2022,29
SunPayus,Alvaro Fernández Garcia,Europe,Spain,Movistar Riders,19/11/1998,AWP,1,"$53,144",11/08/2022,23
Adamb,Adam Ångström,Europe,Sweden,Young Ninjas,07/01/2005,AK47,0,"$5,004",11/08/2022,17
Addi,Andreas Wallenberg,Europe,Sweden,ROYALS,20/01/1990,AK47,0,"$4,787",11/08/2022,32
AlekS,Alexander Andersson,Europe,Sweden,00 Prospects,25/09/2001,AK47,0,"$7,722",11/08/2022,20
B0denmaster,Jonathan Bodenmalm,Europe,Sweden,ATK,04/04/1998,AWP,0,"$30,811",11/08/2022,24
Bobeksde,Jonatan Persson,Europe,Sweden,00 Prospects,21/11/2003,AK47,0,"$5,657",11/08/2022,18
Brollan,Ludvig Brolin,Europe,Sweden,Ninjas in Pyjamas,17/06/2002,AK47,2,"$321,192",11/08/2022,20
Chawzyyy,Hugo Günther,Europe,Sweden,Apeks,11/03/2005,AWP,0,"$21,056",11/08/2022,17
Devilwalk,Jonatan Lundberg,Europe,Sweden,Savage,07/04/1991,AK47,2,"$34,732",11/08/2022,31
Dezon,Adam Wahlqvist,Europe,Sweden,Savage,30/09/1997,AK47,0,"$22,920",11/08/2022,24
DjL,Daniel Narancic,Europe,Sweden,Ninjas in Pyjamas,27/01/1994,AK47,0,"$14,987",11/08/2022,28
Draken (William Sundin),William Fant Sundin,Europe,Sweden,Into The Breach,05/10/1995,AWP,1,"$163,399",11/08/2022,26
Flusha,Robin Rönnquist,Europe,Sweden,EYEBALLERS,12/08/1993,AK47,14,"$845,383",11/08/2022,29
FRANSSON,Gustav Fransson,Europe,Sweden,00 Prospects,06/06/2000,AK47,0,"$6,670",11/08/2022,22
Golden,Maikil Kunda Selim,Europe,Sweden,Savage,02/02/1994,AK47,3,"$458,977",11/08/2022,28
Grux,Denis Gutaj,Europe,Sweden,Savage,13/11/1999,AK47,0,"$12,338",11/08/2022,22
Hampus,Hampus Poser,Europe,Sweden,Ninjas in Pyjamas,26/11/1998,AK47,2,"$193,133",11/08/2022,23
Hns,Hannes Johansson,Europe,Sweden,Lilmix,29/09/1998,AK47,0,"$12,012",11/08/2022,23
Hype,Johan Engblom,Europe,Sweden,00 Prospects,05/07/2001,AWP,0,"$6,024",11/08/2022,21
Isak,Isak Fahlén,Europe,Sweden,Team GamerLegion,02/09/2001,AK47,0,"$25,780",11/08/2022,20
Joel,Joel Holmlund,Europe,Sweden,MONAD eSport,24/09/2004,AWP,0,"$12,062",11/08/2022,17
JW,Jesper Wecksell,Europe,Sweden,EYEBALLERS,23/02/1995,AWP,14,"$920,763",11/08/2022,27
Karma,Emil Bäremo,Europe,Sweden,Kappa Bar,19/02/1999,AWP,0,"$4,363",11/08/2022,23
Kreaz,Rasmus Johansson,Europe,Sweden,Team Finest,10/04/1998,AWP,0,"$37,326",11/08/2022,24
KriLLe,Kristian Ekroth,Europe,Sweden,Lemondogs,30/06/1997,AK47,0,"$3,872",11/08/2022,25
KRIMZ,Lars Freddy Johansson,Europe,Sweden,Fnatic,25/04/1994,AK47,14,"$931,351",11/08/2022,28
Melonhead,Noel Raki,Europe,Sweden,X-Gamer,20/01/1997,AK47,0,"$13,386",11/08/2022,25
MODDII,Andreas Fridh,Europe,Sweden Denmark,Astralis Talent,18/07/1989,AK47,1,"$184,077",11/08/2022,33
Nawwk,Tim Jonasson,Europe,Sweden,Apeks,30/10/1997,AWP,0,"$81,094",11/08/2022,24
Nessa,Vanessa Ahlström,Europe,Sweden,GODSENT Female,06/01/1999,AK47,0,"$5,193",11/08/2022,23
Olofmeister,Olof Markus Kajbjer Gustafsson,Europe,Sweden,FaZe Clan,31/01/1992,AK47,16,"$904,919",11/08/2022,30
PALM1,Alex Palm,Europe,Sweden,ROYALS,27/04/1997,AWP,0,"$17,379",11/08/2022,25
Peppzor,Peppe Borak,Europe,Sweden,Fnatic Rising,23/07/2002,AK47,0,"$21,880",11/08/2022,20
PlesseN,Niclas Plessen,Europe,Sweden,Team Finest,29/05/1998,AK47,0,"$72,115",11/08/2022,24
Plopski,Nicolas Gonzalez Zamora,Europe,Sweden Spain,Ninjas in Pyjamas,14/05/2002,AK47,2,"$219,123",11/08/2022,20
Quix,Max Lindkvist,Europe,Sweden,Lilmix,26/10/1992,AK47,0,"$36,309",11/08/2022,29
REZ,Bo Fredrik Sterner,Europe,Sweden,Ninjas in Pyjamas,11/01/1998,AK47,5,"$392,618",11/08/2022,24
RobbaN,Robert Dahlström,Europe,Sweden,FaZe Clan,05/01/1985,AK47,0,"$131,448",11/08/2022,37
RuStY,Alfred Karlsson,Europe,Sweden,Into The Breach,04/10/1997,AK47,0,"$51,266",11/08/2022,24
Sapec,Anton Palmgren,Europe,Sweden,EYEBALLERS,05/09/2002,AK47,0,"$28,475",11/08/2022,19
SHiNE,Casper Wennerberg,Europe,Sweden,EYEBALLERS,23/12/2002,AK47,0,"$9,515",11/08/2022,19
Slap,Fredrik Junbrant,Europe,Sweden,EYEBALLERS,27/11/1992,AK47,0,"$7,854",11/08/2022,29
Spooke,Olle Grundström,Europe,Sweden,00 Prospects,16/08/2001,AK47,0,"$7,718",11/08/2022,20
Svedjehed,Leo Svedjehed,Europe,Sweden,EYEBALLERS,22/07/2003,AK47,0,"$19,687",11/08/2022,19
Twist,Simon Eliasson,Europe,Sweden,Team Finest,12/12/1994,AWP,5,"$254,830",11/08/2022,27
WolfY,Adam Andersson,Europe,Sweden United States,ECSTATIC,08/12/1998,AWP,0,"$48,488",11/08/2022,23
